[2017-10-21 20:39:48]	 Pacman collected 1 points!
[2017-10-21 20:39:48]	 Pacman collected 1 points!
[2017-10-21 20:39:48]	 Pacman collected 1 points!
[2017-10-21 20:39:49]	 Pacman collected 1 points!
[2017-10-21 20:39:50]	 Pacman collected 1 points!
[2017-10-21 20:39:50]	 Pacman collected 1 points!
[2017-10-21 20:39:51]	 Pacman collected 1 points!
[2017-10-21 20:39:51]	 Pacman collected 1 points!
[2017-10-21 20:39:52]	 Pacman collected 5 points!
[2017-10-21 20:39:53]	 Pacman collected 1 points!
[2017-10-21 20:41:30]	 Pacman collected 1 points!
[2017-10-21 20:41:33]	 Pacman collected 1 points!
[2017-10-21 20:41:33]	 Pacman collected 1 points!
[2017-10-21 20:41:33]	 Pacman collected 5 points!
[2017-10-21 20:44:34]	 Pacman collected 1 points!
[2017-10-21 20:59:51]	 Pacman collected 1 points!
[2017-10-21 20:59:52]	 Pacman collected 1 points!
[2017-10-21 20:59:52]	 Pacman collected 1 points!
[2017-10-21 20:59:52]	 Pacman collected 1 points!
[2017-10-21 21:00:01]	 Pacman collected 1 points!
[2017-10-21 21:00:02]	 Pacman collected 5 points!
[2017-10-21 21:00:02]	 Pacman collected 1 points!
[2017-10-21 21:06:41]	 Pacman collected 1 points!
[2017-10-21 21:06:41]	 Pacman collected 1 points!
[2017-10-21 21:06:42]	 Pacman collected 1 points!
[2017-10-21 21:06:42]	 Pacman collected 1 points!
[2017-10-21 21:06:42]	 Pacman collected 1 points!
[2017-10-21 21:06:42]	 Pacman collected 1 points!
[2017-10-21 21:06:43]	 Pacman collected 5 points!
[2017-10-21 21:06:43]	 Pacman collected 1 points!
[2017-10-21 21:06:44]	 Pacman collected 1 points!
[2017-10-21 21:06:44]	 Pacman collected 1 points!
[2017-10-21 21:06:44]	 Pacman collected 1 points!
[2017-10-21 21:06:45]	 Pacman collected 1 points!
[2017-10-21 21:06:45]	 Pacman collected 1 points!
[2017-10-21 21:06:45]	 Pacman collected 1 points!
[2017-10-21 21:06:45]	 Pacman collected 1 points!
[2017-10-21 21:06:45]	 Pacman collected 1 points!
[2017-10-21 21:06:46]	 Pacman collected 5 points!
[2017-10-21 21:06:46]	 Pacman collected 5 points!
[2017-10-21 21:06:46]	 Pacman collected 1 points!
[2017-10-21 21:06:47]	 Pacman collected 1 points!
[2017-10-21 21:06:47]	 Pacman collected 1 points!
[2017-10-21 21:06:48]	 Pacman collected 1 points!
[2017-10-21 21:06:50]	 Pacman collected 1 points!
[2017-10-21 21:06:51]	 Pacman collected 5 points!
[2017-10-21 21:06:51]	 Pacman collected 1 points!
[2017-10-21 21:06:51]	 Pacman collected 1 points!
[2017-10-21 21:06:51]	 Pacman collected 1 points!
[2017-10-21 21:06:52]	 Pacman collected 1 points!
[2017-10-21 21:06:53]	 Pacman collected 1 points!
[2017-10-21 21:06:54]	 Pacman collected 1 points!
[2017-10-21 21:06:54]	 Pacman collected 1 points!
[2017-10-21 21:06:55]	 Pacman collected 1 points!
[2017-10-21 21:06:55]	 Pacman collected 1 points!
[2017-10-21 21:06:56]	 Pacman collected 5 points!
[2017-10-21 21:15:19]	 Pacman collected 1 points!
[2017-10-21 21:15:20]	 Pacman collected 1 points!
[2017-10-21 21:15:21]	 Pacman collected 5 points!
[2017-10-21 21:15:21]	 Pacman collected 1 points!
[2017-10-21 21:15:21]	 Pacman collected 5 points!
[2017-10-21 21:15:22]	 Pacman collected 5 points!
[2017-10-21 21:15:22]	 Pacman collected 1 points!
[2017-10-21 21:15:23]	 Pacman collected 5 points!
[2017-10-21 21:15:23]	 Pacman collected 1 points!
[2017-10-21 21:15:25]	 Pacman collected 5 points!
[2017-10-21 21:15:25]	 Pacman collected 1 points!
[2017-10-21 21:15:25]	 Pacman collected 5 points!
[2017-10-21 21:15:26]	 Pacman collected 1 points!
[2017-10-21 21:15:26]	 Pacman collected 1 points!
[2017-10-21 21:15:27]	 Pacman collected 1 points!
[2017-10-21 21:15:27]	 Pacman collected 5 points!
[2017-10-21 21:15:27]	 Pacman collected 1 points!
[2017-10-21 21:15:27]	 Pacman collected 1 points!
[2017-10-21 21:15:28]	 Pacman collected 1 points!
[2017-10-21 21:15:29]	 Pacman collected 1 points!
[2017-10-21 21:15:29]	 Pacman collected 1 points!
[2017-10-21 21:15:30]	 Pacman collected 1 points!
[2017-10-21 21:15:30]	 Pacman collected 1 points!
[2017-10-21 21:15:31]	 Pacman collected 5 points!
[2017-10-21 21:15:31]	 Pacman collected 1 points!
[2017-10-21 21:25:21]	 Pacman collected 1 points!
[2017-10-21 21:25:24]	 Pacman collected 1 points!
[2017-10-21 21:25:24]	 Pacman collected 1 points!
[2017-10-21 21:25:24]	 Pacman collected 1 points!
